OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Shape__Area,Shape__Length,Death
1,01,Schleswig-Holstein,Land,2896712,15,2294,2020-04-15T22:00:00.000Z,01,fc5ba936-c95c-432c-8a33-9eb2f30b660f,79.3820793744664,45737314116.8701,2881496.1295035,55
2,02,Hamburg,Freie und Hansestadt,1841179,6,3953,2020-04-15T22:00:00.000Z,02,0f3e860c-5181-4d3f-a421-1d51f50315ea,215.94201631829,2089396054.82129,418800.187474072,80
3,03,Niedersachsen,Land,7982448,9,8188,2020-04-15T22:00:00.000Z,03,3fd77024-c29b-4843-9be8-682ad48e60c9,102.82847374188,129983613598.973,4008988.2951652,248
4,04,Bremen,Freie Hansestadt,682986,5,507,2020-04-15T22:00:00.000Z,04,4132268b-54de-4327-ac1e-760e915112f1,74.4458410177495,1119156745.43408,335717.737774516,21
5,05,Nordrhein-Westfalen,Land,17932651,10,26383,2020-04-15T22:00:00.000Z,05,561d658f-3ee5-46e3-bc95-3528c6558ab9,147.291216110822,87829361998.0295,2648672.50917441,663
6,06,Hessen,Land,6265809,7,6470,2020-04-15T22:00:00.000Z,06,93277ac4-e8fc-48c7-8940-028dc2ed66af,103.631723288243,52359125900.6655,2148243.6201819,187
7,07,Rheinland-Pfalz,Land,4084844,11,5087,2020-04-15T22:00:00.000Z,07,e9b4296f-9be2-4e53-9a58-ccf1396cb03d,124.874836726212,47838767393.1633,1774430.12830596,87
8,08,Baden-Württemberg,Land,11069533,1,25881,2020-04-15T22:00:00.000Z,08,80394ddf-c6a4-4a6e-be8e-0259a81b22a9,234.781839582525,81517323536.8628,2544320.39805124,802
9,09,Bayern,Freistaat,13076721,2,35142,2020-04-15T22:00:00.000Z,09,1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a,270.381229686016,163485540875.077,3898617.90542911,1049
10,10,Saarland,Land,990509,12,2201,2020-04-15T22:00:00.000Z,10,e3396a6f-8a30-4fdf-8df7-def77dd38bea,221.386922178624,6060691818.01318,562678.876124348,71
11,11,Berlin,Land,3644826,3,4848,2020-04-15T22:00:00.000Z,11,c7033073-2bb0-486b-97af-5b3c639e7219,134.163738984003,2402458320.59863,363979.182407356,74
12,12,Brandenburg,Land,2511917,4,2058,2020-04-15T22:00:00.000Z,12,b560af89-5895-4be4-96f8-0f581cd8a858,82.1871855082187,79801970800.2686,2571385.42188057,54
13,13,Mecklenburg-Vorpommern,Land,1609675,8,634,2020-04-15T22:00:00.000Z,13,a27f5628-e790-45be-898d-f0a6841c0f7e,39.3515314511219,65873523064.0757,4131181.10875485,13
14,14,Sachsen,Freistaat,4077937,13,3955,2020-04-15T22:00:00.000Z,14,256d2405-a7c8-4fec-93df-29f3c808cd25,96.9052078402316,46626497892.9951,2048279.98573376,94
15,15,Sachsen-Anhalt,Land,2208321,14,1248,2020-04-15T22:00:00.000Z,15,66106bbe-f04b-4f92-80e1-5b5b30da25b5,56.1383053518968,54177007537.6553,1920386.52842308,26
16,16,Thüringen,Freistaat,2143145,16,1601,2020-04-15T22:00:00.000Z,16,3a3e2817-bb19-4f8c-8bca-d8ff591140d4,74.4234045569809,40685205073.9761,2015719.49965031,45
